robot_id,data,pezzi_prodotti,tempo_ciclo_medio,tempo_fermo_minuti,errori_collisione,consumo_energia_kwh,temperatura_motore_c,ore_operative,efficienza_oee
ABB_002,2026-01-13 20:53:29.137470,1426,38.262588805389136,170,0,88.3,47.1,16,78.41
ABB_003,2026-01-13 20:53:29.137470,1634,34.31283365071571,83,0,90.0,47.2,16,87.43
ABB_004,2026-01-13 20:53:29.137470,1092,47.87845036888842,228,1,77.4,53.3,16,62.66
ABB_001,2026-01-14 20:53:29.137470,1798,31.26258665411463,28,0,92.7,45.7,16,95.96
ABB_002,2026-01-14 20:53:29.137470,1568,36.298636088952584,89,1,87.3,46.6,16,82.65
ABB_003,2026-01-14 20:53:29.137470,1558,33.855527447163176,85,0,86.4,48.7,16,88.61
ABB_004,2026-01-14 20:53:29.137470,1073,49.40200985701137,230,1,76.65,52.6,16,60.73
ABB_001,2026-01-15 20:53:29.137470,1736,32.86317766927671,79,0,94.7,41.6,16,91.29
ABB_002,2026-01-15 20:53:29.137470,1528,36.39781220010066,119,0,88.3,45.2,16,82.42
ABB_003,2026-01-15 20:53:29.137470,1783,30.60352655952307,9,0,90.05,45.2,16,98.03
ABB_004,2026-01-15 20:53:29.137470,1221,46.88995196629189,254,0,86.45,53.3,16,63.98
ABB_001,2026-01-16 20:53:29.137470,1391,40.143709337247,287,0,98.25,54.5,16,74.73
ABB_002,2026-01-16 20:53:29.137470,1497,35.356863894167695,200,2,94.85,47.5,16,84.85
ABB_003,2026-01-16 20:53:29.137470,1595,34.07889268336587,98,0,89.55,50.3,16,88.03
ABB_004,2026-01-16 20:53:29.137470,1063,49.242026913978115,473,1,100.45,52.0,16,60.92
ABB_001,2026-01-17 20:53:29.137470,1580,35.06918991738,178,0,96.8,44.8,16,85.55
ABB_002,2026-01-17 20:53:29.137470,1396,38.31025674290047,142,0,84.0,46.6,16,78.31
ABB_003,2026-01-17 20:53:29.137470,1793,31.096631977027414,43,0,93.95,50.7,16,96.47
ABB_004,2026-01-17 20:53:29.137470,1168,48.994742441409514,360,1,94.4,49.4,16,61.23
ABB_001,2026-01-18 20:53:29.137470,1633,34.34940809702851,152,0,96.85,45.7,16,87.34
ABB_002,2026-01-18 20:53:29.137470,1604,35.134394717426325,99,0,90.1,43.2,16,85.39
ABB_003,2026-01-18 20:53:29.137470,1780,30.0,0,0,89.0,42.7,16,100.0
ABB_004,2026-01-18 20:53:29.137470,1125,48.616575988777015,405,5,96.75,57.7,16,61.71
ABB_001,2026-01-19 20:53:29.137470,1518,36.960951939590366,214,0,97.3,48.0,16,81.17
ABB_002,2026-01-19 20:53:29.137470,1547,36.24026779147759,240,0,101.35,50.9,16,82.78
ABB_003,2026-01-19 20:53:29.137470,1584,35.84417160220845,152,0,94.4,50.9,16,83.7
ABB_004,2026-01-19 20:53:29.137470,1328,42.17888979212276,330,0,99.4,49.6,16,71.13
ABB_001,2026-01-20 20:53:29.137470,1535,35.6682620795059,178,0,94.55,44.8,16,84.11
ABB_002,2026-01-20 20:53:29.137470,1413,37.9238722385424,117,0,82.35,47.9,16,79.11
ABB_003,2026-01-20 20:53:29.137470,1619,32.74394030215082,90,0,89.95,44.6,16,91.62
ABB_004,2026-01-20 20:53:29.137470,1346,41.74040249009027,402,1,107.5,51.8,16,71.87
ABB_001,2026-01-21 20:53:29.137470,1518,34.384468353100296,92,0,85.1,46.5,16,87.25
ABB_002,2026-01-21 20:53:29.137470,1408,39.37774686711124,211,1,91.5,48.4,16,76.19
ABB_003,2026-01-21 20:53:29.137470,1650,31.796052178159034,30,0,85.5,43.1,16,94.35
ABB_004,2026-01-21 20:53:29.137470,1187,45.0163160970774,213,1,80.65,49.9,16,66.64
ABB_001,2026-01-22 20:53:29.137470,1572,35.84448653220058,80,0,86.6,43.3,16,83.69
ABB_002,2026-01-22 20:53:29.137470,1485,35.57054733184074,154,0,89.65,49.0,16,84.34
ABB_003,2026-01-22 20:53:29.137470,1675,31.413884315238953,50,0,88.75,48.2,16,95.5
ABB_004,2026-01-22 20:53:29.137470,1103,47.549290532911606,180,1,73.15,55.0,16,63.09
ABB_001,2026-01-23 20:53:29.137470,1485,36.52939237299539,146,0,88.85,46.8,16,82.13
ABB_002,2026-01-23 20:53:29.137470,1633,34.490947571797705,65,0,88.15,43.4,16,86.98
ABB_003,2026-01-23 20:53:29.137470,1429,36.81026945121637,119,0,83.35,45.1,16,81.5
ABB_004,2026-01-23 20:53:29.137470,1182,47.53216141892833,343,0,93.4,49.6,16,63.12
ABB_001,2026-01-24 20:53:29.137470,1650,33.5602104544234,132,0,95.7,48.9,16,89.39
ABB_002,2026-01-24 20:53:29.137470,1169,44.58303584530705,256,1,84.05,54.4,16,67.29
ABB_003,2026-01-24 20:53:29.137470,1781,31.386291659868157,24,0,91.45,47.5,16,95.58
ABB_004,2026-01-24 20:53:29.137470,1202,43.9561563443785,410,1,101.1,51.6,16,68.25
ABB_001,2026-01-25 20:53:29.137470,1641,32.19343454204394,50,0,87.05,39.6,16,93.19
ABB_002,2026-01-25 20:53:29.137470,1193,44.82128846946,258,0,85.45,51.6,16,66.93
ABB_003,2026-01-25 20:53:29.137470,1672,34.01553231108535,76,0,91.2,51.2,16,88.2
ABB_004,2026-01-25 20:53:29.137470,1331,39.553057514419365,144,1,80.95,51.8,16,75.85
ABB_001,2026-01-26 20:53:29.137470,1702,33.566017461715404,90,0,94.1,48.4,16,89.38
ABB_002,2026-01-26 20:53:29.137470,1601,35.850642339103224,187,0,98.75,50.7,16,83.68
ABB_003,2026-01-26 20:53:29.137470,1651,34.13181642235267,147,0,97.25,48.4,16,87.89
ABB_004,2026-01-26 20:53:29.137470,1346,41.920639420975334,175,1,84.8,51.7,16,71.56
ABB_001,2026-01-27 20:53:29.137470,1492,36.542991668634514,241,1,98.7,46.1,16,82.1
ABB_002,2026-01-27 20:53:29.137470,1309,42.67824800622179,213,2,86.75,48.4,16,70.29
ABB_003,2026-01-27 20:53:29.137470,1546,35.117339815688,166,0,93.9,47.1,16,85.43
ABB_004,2026-01-27 20:53:29.137470,1209,46.79548231923473,309,1,91.35,52.8,16,64.11
ABB_001,2026-01-28 20:53:29.137470,1513,34.892217862465564,171,0,92.75,47.8,16,85.98
ABB_002,2026-01-28 20:53:29.137470,1464,37.95864818541377,174,0,90.6,54.7,16,79.03
ABB_003,2026-01-28 20:53:29.137470,1550,35.089874650839505,179,0,95.4,49.5,16,85.49
ABB_004,2026-01-28 20:53:29.137470,1185,44.87277628996545,414,0,100.65,45.1,16,66.86
ABB_001,2026-01-29 20:53:29.137470,1543,34.85451802702844,126,0,89.75,48.8,16,86.07
ABB_002,2026-01-29 20:53:29.137470,1241,43.437370831453734,372,0,99.25,45.6,16,69.06
ABB_003,2026-01-29 20:53:29.137470,1825,30.0,0,0,91.25,49.5,16,100.0
ABB_004,2026-01-29 20:53:29.137470,1110,47.27642903008283,462,1,101.7,56.4,16,63.46
ABB_001,2026-01-30 20:53:29.137470,1490,35.199894090587065,149,0,89.4,46.5,16,85.23
ABB_002,2026-01-30 20:53:29.137470,1339,42.411763591399875,266,0,93.55,52.4,16,70.74
ABB_003,2026-01-30 20:53:29.137470,1777,30.509279134636277,21,0,90.95,44.8,16,98.33
ABB_004,2026-01-30 20:53:29.137470,1314,42.74725718638929,412,3,106.9,47.2,16,70.18
ABB_001,2026-01-31 20:53:29.137470,1568,35.96350289452669,99,0,88.3,46.3,16,83.42
ABB_002,2026-01-31 20:53:29.137470,1432,37.858014015443366,218,0,93.4,51.1,16,79.24
ABB_003,2026-01-31 20:53:29.137470,1698,33.54709390882472,147,0,99.6,48.1,16,89.43
ABB_004,2026-01-31 20:53:29.137470,1011,54.82696405696286,398,3,90.35,53.0,16,54.72
ABB_001,2026-02-01 20:53:29.137470,1439,37.09960284726503,116,0,83.55,51.3,16,80.86
ABB_002,2026-02-01 20:53:29.137470,1349,39.16697054866257,277,0,95.15,47.4,16,76.6
ABB_003,2026-02-01 20:53:29.137470,1746,31.989209103984617,61,0,93.4,46.2,16,93.78
ABB_004,2026-02-01 20:53:29.137470,1096,49.2117677874215,415,5,96.3,53.7,16,60.96
ABB_001,2026-02-02 20:53:29.137470,1598,34.54314373971883,145,0,94.4,44.6,16,86.85
ABB_002,2026-02-02 20:53:29.137470,1493,38.151203141551,201,0,94.75,40.2,16,78.63
ABB_003,2026-02-02 20:53:29.137470,1774,30.645462277462943,25,0,91.2,47.7,16,97.89
ABB_004,2026-02-02 20:53:29.137470,1290,41.48739014109566,186,3,83.1,48.8,16,72.31
